tag_number,common_name,genus,species,notes,stem,diam_mm
1,beautyberry,calliacarpa,americana,NA,1,6
1,beautyberry,calliacarpa,americana,NA,2,5.5
2,beautyberry,calliacarpa,americana,NA,1,4.7
2,beautyberry,calliacarpa,americana,NA,2,7.2
2,beautyberry,calliacarpa,americana,NA,3,2.8
3,persimmon,diospyros,missing,NA,1,12
4,beautyberry,calliacarpa,americana,NA,1,5.5
5,swamp oak,quercus,michauxii,NA,1,17.5
6,hickory,carya,missing,NA,1,16.9
7,beautyberry,calliacarpa,americana,NA,1,5.8
8,beautyberry,calliacarpa,americana,multiple stems below the threshold for measuring,1,5.3
8,beautyberry,calliacarpa,americana,multiple stems below the threshold for measuring,2,4.6
9,persimmon,diospyros,missing,NA,1,11.4
10,red bay,persea,borbonia,NA,1,11.7
11,beautyberry,calliacarpa,americana,NA,1,5.7
12,beautyberry,calliacarpa,americana,NA,1,7
13,beautyberry,calliacarpa,americana,NA,1,5
14,eastern red cedar,juniperus,virginiana,NA,1,1.9
15,red buckeye,aesculus,pavia,NA,1,4.7
16,sweetgum,liquidambar,styraciflua,NA,1,26.8
17,swamp oak,quercus,michauxii,NA,1,15.3
18,tuliptree,liriodendron,tulipifera,NA,1,13.1
19,red bay,persea,borbonia,NA,1,8
20,red bay,persea,borbonia,NA,1,8.7
21,persimmon,diospyros,NA,NA,1,9.1
22,southern crabapple,malus,angustifolia,NA,1,19.9
23,missing,ilex,missing,multiple stems below the threshold for measuring,1,18.4
23,missing,ilex,missing,multiple stems below the threshold for measuring,2,11.4
24,red buckeye,aesculus,pavia,NA,1,11.4
25,beautyberry,calliacarpa,americana,NA,1,4
26,persimmon,diospyros,missing,NA,1,5.1
27,missing,missing,missing,NA,1,10.7
28,musclewood,missing,missing,NA,1,20.8
29,beautyberry,calliacarpa,americana,NA,1,3.7
30,southern crabapple,malus,angustifolia,NA,1,9.4
31,beautyberry,calliacarpa,americana,NA,1,15.7
32,ash,missing,missing,NA,1,5.1
33,eastern red cedar,juniperus,virginiana,NA,1,1.8
